model,idx,error_type,sentence
VADER,498,misleading sentiment word,"anchored by friel and williams 's exceptional performances , the film 's power lies in its complexity ."
VADER,377,no sentiment found (score 0),nothing is sacred in this gut-buster .
VADER,555,context / world knowledge,"... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments ."
VADER,26,context / world knowledge,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide ."
VADER,278,no sentiment found (score 0),basically a static series of semi-improvised ( and semi-coherent ) raps between the stars .
VADER,323,misleading sentiment word,a painfully funny ode to bad behavior .
VADER,704,misleading sentiment word,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...
VADER,456,misleading sentiment word,"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation ."
VADER,610,sarcasm / irony,like you could n't smell this turkey rotting from miles away .
VADER,843,other,a wildly inconsistent emotional experience .
VADER,554,misleading sentiment word,it treats women like idiots .
VADER,249,misleading sentiment word,huston nails both the glad-handing and the choking sense of hollow despair .
VADER,766,mixed sentiment,"while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving ."
VADER,235,negation,"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie ."
VADER,532,misleading sentiment word,"for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener ."
VADER,736,misleading sentiment word,american chai encourages rueful laughter at stereotypes only an indian-american would recognize .
VADER,352,misleading sentiment word,"a swashbuckling tale of love , betrayal , revenge and above all , faith ."
VADER,211,context / world knowledge,to say this was done better in wilder 's some like it hot is like saying the sun rises in the east .
VADER,71,misleading sentiment word,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling ."
VADER,18,no sentiment found (score 0),... the movie is just a plain old monster .
VADER,571,negation,"passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards ."
VADER,155,misleading sentiment word,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .
