,sentence,label,vader_score,vader_pred,textblob_score,textblob_pred,distilbert_pred,distilbert_conf
4,"it 's slow -- very , very slow . ",0,0.0,1,-0.3450000000000001,0,0,0.9996892213821411
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,0.2023,1,-0.14444444444444446,0,1,0.9998290538787842
6,a sometimes tedious film . ,0,0.0,1,-0.5,0,0,0.999504566192627
7,or doing last year 's taxes with your ex-wife . ,0,0.0,1,0.0,1,0,0.9917595982551575
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0.0,1,0.075,1,0,0.9992507100105286
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,-0.1531,0,0.08749999999999998,1,0,0.9996739625930786
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,0.0772,1,-0.1,0,1,0.9570928812026978
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,-0.4215,0,0.09999999999999999,1,0,0.9997715353965759
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,-0.5106,0,-0.23076923076923078,0,1,0.9994854927062988
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,0.7184,1,-0.31666666666666665,0,1,0.999798595905304
18,... the movie is just a plain old monster . ,0,0.0,1,-0.057142857142857134,0,0,0.9992817044258118
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,-0.1974,0,0.1533333333333334,1,0,0.9995865225791931
21,the iditarod lasts for days - this just felt like it did . ,0,0.3612,1,0.0,1,0,0.9551857113838196
22,holden caulfield did it better . ,0,0.4404,1,0.5,1,1,0.9907523393630981
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0.765,1,-0.175,0,0,0.9996476173400879
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0.2263,1,-0.0375,0,0,0.9980615973472595
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,0.7964,1,-0.1,0,1,0.9996742010116577
28,"it 's a cookie-cutter movie , a cut-and-paste job . ",0,0.0,1,0.0,1,0,0.9915094375610352
31,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,-0.0258,0,0.0,1,0,0.9966212511062622
33,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,0.7469,1,0.07499999999999998,1,0,0.9486178755760193
36,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,0.4939,1,-0.3,0,1,0.9991298317909241
37,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,0.6597,1,0.09583333333333333,1,0,0.9870452284812927
42,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,1,0.1184,1,-0.39444444444444443,0,1,0.9997768998146057
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0,0.91,1,0.115625,1,0,0.9972707629203796
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0,0.128,1,0.11363636363636363,1,0,0.9600982666015625
49,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,0.0,1,0.6,1,0,0.9997772574424744
50,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0,0.8779,1,0.33809523809523806,1,0,0.9992080330848694
54,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,0.6712,1,0.3,1,0,0.9991016387939453
56,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0,0.7845,1,0.049999999999999996,1,0,0.9996685981750488
57,the cold turkey would 've been a far better title . ,0,0.4404,1,0.0,1,0,0.9973347783088684
58,manages to be both repulsively sadistic and mundane . ,0,0.0,1,-0.16666666666666666,0,0,0.9981203675270081
59,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0,0.0772,1,0.15,1,0,0.874324381351471
64,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0,0.0,1,0.0,1,1,0.8576419353485107
65,you wonder why enough was n't just a music video rather than a full-length movie . ,0,0.0,1,0.016666666666666666,1,0,0.9982241988182068
66,"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,0.1779,1,-0.1686507936507937,0,1,0.8316640853881836
