model,idx,sentence,label,vader_score,textblob_score,distilbert_pred,distilbert_conf
VADER,498,"anchored by friel and williams 's exceptional performances , the film 's power lies in its complexity . ",1,-0.4215,0.6666666666666666,1,0.9998123049736023
VADER,377,nothing is sacred in this gut-buster . ,0,0.0,0.0,0,0.9990690350532532
VADER,555,"... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments . ",0,0.0772,0.10714285714285714,0,0.9997122883796692
VADER,26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0.2263,-0.0375,0,0.9980615973472595
VADER,278,basically a static series of semi-improvised ( and semi-coherent ) raps between the stars . ,0,0.0,0.5,0,0.9992324113845825
VADER,323,a painfully funny ode to bad behavior . ,1,-0.6124,-0.22499999999999992,1,0.99700528383255
VADER,704,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ... ,0,0.4767,0.5166666666666667,1,0.8487033843994141
VADER,456,"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation . ",0,0.4588,0.024999999999999994,0,0.9953475594520569
VADER,610,like you could n't smell this turkey rotting from miles away . ,0,0.3612,0.0,0,0.9893556237220764
VADER,843,a wildly inconsistent emotional experience . ,0,0.1531,0.05,0,0.9980624318122864
VADER,554,it treats women like idiots . ,0,0.3612,-0.8,0,0.9989352822303772
VADER,249,huston nails both the glad-handing and the choking sense of hollow despair . ,1,-0.6486,-0.1,1,0.8497800230979919
VADER,766,"while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving . ",1,-0.2216,-0.05,1,0.9992901086807251
VADER,235,"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",1,-0.2878,-0.325,1,0.9969412684440613
VADER,532,"for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener . ",1,-0.6808,0.07222222222222223,1,0.9987462759017944
